Time,SumOfICU
2020-Qtr1,0
2020-Qtr2,4568.31
2020-Qtr3,9904.577
2020-Qtr4,11506.749
2021-Qtr1,13867.586
2021-Qtr2,27230.507
2021-Qtr3,13218.65
2021-Qtr4,4686.229
2022-Qtr1,7246.109
2022-Qtr2,1464.687
2022-Qtr3,998.768
2022-Qtr4,560.776
