,date,continent,location,male_smokers
121,2020Q1,Europe,France,3168.4
122,2020Q1,Europe,Germany,2945.9
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,4628.0
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,3097.2
127,2020Q1,Europe,Iceland,1352.8
128,2020Q1,Europe,Ireland,2287.2999999999997
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,2474.2000000000003
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,4539.0
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,3382.0
136,2020Q1,Europe,Luxembourg,2314.0
137,2020Q1,Europe,Malta,2687.7999999999997
138,2020Q1,Europe,Moldova,3969.4
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,4263.099999999999
141,2020Q1,Europe,Netherlands,2429.7000000000003
142,2020Q1,Europe,North Macedonia,0.0
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,1842.3
145,2020Q1,Europe,Poland,2945.9
146,2020Q1,Europe,Portugal,2670.0
147,2020Q1,Europe,Romania,3301.9
148,2020Q1,Europe,Russia,5188.7
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,3577.8
152,2020Q1,Europe,Slovakia,3355.3
153,2020Q1,Europe,Slovenia,2225.0
154,2020Q1,Europe,Spain,2794.6
155,2020Q1,Europe,Sweden,1682.1
156,2020Q1,Europe,Switzerland,2572.1
157,2020Q1,Europe,Ukraine,4218.599999999999
158,2020Q1,Europe,United Kingdom,2198.2999999999997
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,0.0
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,1815.6
164,2020Q1,North America,Barbados,1290.5
165,2020Q1,North America,Belize,0.0
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,1477.4
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,1548.6
172,2020Q1,North America,Cuba,4743.7
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,0.0
175,2020Q1,North America,Dominican Republic,1699.9
176,2020Q1,North America,El Salvador,1673.2
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,0.0
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,0.0
181,2020Q1,North America,Haiti,2055.9
182,2020Q1,North America,Honduras,0.0
183,2020Q1,North America,Jamaica,2545.4
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,1947.3999999999999
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,0.0
188,2020Q1,North America,Panama,881.1
189,2020Q1,North America,Puerto Rico,0.0
