,date,continent,location,female_smokers
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,3141.7
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,2385.2000000000003
127,2020Q1,Europe,Iceland,1272.7
128,2020Q1,Europe,Ireland,2047.0
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,1762.2
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,2278.4
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,1895.7
136,2020Q1,Europe,Luxembourg,1860.1
137,2020Q1,Europe,Malta,1860.1
138,2020Q1,Europe,Moldova,525.1
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,3916.0
141,2020Q1,Europe,Netherlands,2171.6
142,2020Q1,Europe,North Macedonia,0.0
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,1744.4
145,2020Q1,Europe,Poland,2073.7000000000003
146,2020Q1,Europe,Portugal,1450.7
147,2020Q1,Europe,Romania,2038.1
148,2020Q1,Europe,Russia,2082.6
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,3355.3
152,2020Q1,Europe,Slovakia,2055.9
153,2020Q1,Europe,Slovenia,1788.9
154,2020Q1,Europe,Spain,2438.6
155,2020Q1,Europe,Sweden,1673.2
156,2020Q1,Europe,Switzerland,2011.4
157,2020Q1,Europe,Ukraine,1201.5
158,2020Q1,Europe,United Kingdom,1780.0
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,0.0
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,275.90000000000003
164,2020Q1,North America,Barbados,169.1
165,2020Q1,North America,Belize,0.0
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,1068.0
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,569.6
172,2020Q1,North America,Cuba,1521.9
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,0.0
175,2020Q1,North America,Dominican Republic,756.5
176,2020Q1,North America,El Salvador,222.5
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,0.0
179,2020Q1,North America,Guadeloupe,0.0
