,date,continent,location,hospital_beds_per_thousand
124,2020Q1,Europe,Greece,374.69
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,624.78
127,2020Q1,Europe,Iceland,258.99
128,2020Q1,Europe,Ireland,263.44
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,283.02000000000004
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,495.73
134,2020Q1,Europe,Liechtenstein,213.33299999999997
135,2020Q1,Europe,Lithuania,583.8399999999999
136,2020Q1,Europe,Luxembourg,401.39
137,2020Q1,Europe,Malta,399.165
138,2020Q1,Europe,Moldova,516.1999999999999
139,2020Q1,Europe,Monaco,1228.2
140,2020Q1,Europe,Montenegro,343.629
141,2020Q1,Europe,Netherlands,295.47999999999996
142,2020Q1,Europe,North Macedonia,380.92
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,320.40000000000003
145,2020Q1,Europe,Poland,589.1800000000001
146,2020Q1,Europe,Portugal,301.71000000000004
147,2020Q1,Europe,Romania,613.388
148,2020Q1,Europe,Russia,716.45
149,2020Q1,Europe,San Marino,338.2
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,499.201
152,2020Q1,Europe,Slovakia,517.98
153,2020Q1,Europe,Slovenia,400.5
154,2020Q1,Europe,Spain,264.33000000000004
155,2020Q1,Europe,Sweden,197.58
156,2020Q1,Europe,Switzerland,403.17
157,2020Q1,Europe,Ukraine,783.2
158,2020Q1,Europe,United Kingdom,226.06
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,338.2
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,258.09999999999997
164,2020Q1,North America,Barbados,516.1999999999999
165,2020Q1,North America,Belize,115.7
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,222.5
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,100.57
172,2020Q1,North America,Cuba,462.8
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,338.2
175,2020Q1,North America,Dominican Republic,142.4
176,2020Q1,North America,El Salvador,115.7
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,329.3
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,53.4
181,2020Q1,North America,Haiti,62.3
182,2020Q1,North America,Honduras,62.3
183,2020Q1,North America,Jamaica,151.29999999999998
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,125.57999999999998
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,80.10000000000001
188,2020Q1,North America,Panama,204.7
189,2020Q1,North America,Puerto Rico,0.0
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,204.7
192,2020Q1,North America,Saint Lucia,115.7
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,231.4
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,267.0
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,246.53
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,341.76
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,204.7
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,169.1
208,2020Q1,Oceania,Marshall Islands,240.3
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,445.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,232.29
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,427.2
216,2020Q1,Oceania,Papua New Guinea,0.0
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,0.0
219,2020Q1,Oceania,Solomon Islands,124.6
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,231.4
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,0.0
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,455.0
226,2020Q1,South America,Bolivia,97.9
227,2020Q1,South America,Brazil,195.8
228,2020Q1,South America,Chile,187.79
229,2020Q1,South America,Colombia,152.19
230,2020Q1,South America,Ecuador,133.5
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,142.4
234,2020Q1,South America,Paraguay,115.7
235,2020Q1,South America,Peru,142.4
236,2020Q1,South America,Suriname,275.90000000000003
237,2020Q1,South America,Uruguay,249.2
238,2020Q1,South America,Venezuela,71.2
239,2020Q2,Africa,Algeria,172.9
240,2020Q2,Africa,Angola,0.0
241,2020Q2,Africa,Benin,45.5
242,2020Q2,Africa,Botswana,163.8
243,2020Q2,Africa,Burkina Faso,36.4
244,2020Q2,Africa,Burundi,72.8
245,2020Q2,Africa,Cameroon,118.3
246,2020Q2,Africa,Cape Verde,191.1
247,2020Q2,Africa,Central African Republic,91.0
248,2020Q2,Africa,Chad,0.0
249,2020Q2,Africa,Comoros,200.20000000000002
250,2020Q2,Africa,Congo,0.0
251,2020Q2,Africa,Cote d'Ivoire,0.0
252,2020Q2,Africa,Democratic Republic of Congo,0.0
253,2020Q2,Africa,Djibouti,127.39999999999999
254,2020Q2,Africa,Egypt,145.6
255,2020Q2,Africa,Equatorial Guinea,191.1
256,2020Q2,Africa,Eritrea,63.699999999999996
257,2020Q2,Africa,Eswatini,191.1
258,2020Q2,Africa,Ethiopia,27.3
259,2020Q2,Africa,Gabon,573.3
260,2020Q2,Africa,Gambia,100.10000000000001
261,2020Q2,Africa,Ghana,81.9
262,2020Q2,Africa,Guinea,27.3
263,2020Q2,Africa,Guinea-Bissau,0.0
264,2020Q2,Africa,Kenya,127.39999999999999
265,2020Q2,Africa,Lesotho,0.0
266,2020Q2,Africa,Liberia,72.8
267,2020Q2,Africa,Libya,336.7
268,2020Q2,Africa,Madagascar,18.2
269,2020Q2,Africa,Malawi,118.3
270,2020Q2,Africa,Mali,9.1
271,2020Q2,Africa,Mauritania,0.0
272,2020Q2,Africa,Mauritius,309.4
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,100.10000000000001
275,2020Q2,Africa,Mozambique,63.699999999999996
276,2020Q2,Africa,Namibia,0.0
277,2020Q2,Africa,Niger,27.3
278,2020Q2,Africa,Nigeria,0.0
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,0.0
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,263.9
283,2020Q2,Africa,Senegal,0.0
284,2020Q2,Africa,Seychelles,327.6
285,2020Q2,Africa,Sierra Leone,0.0
286,2020Q2,Africa,Somalia,81.9
287,2020Q2,Africa,South Africa,211.11999999999998
288,2020Q2,Africa,South Sudan,0.0
289,2020Q2,Africa,Sudan,72.8
290,2020Q2,Africa,Tanzania,63.699999999999996
291,2020Q2,Africa,Togo,63.699999999999996
292,2020Q2,Africa,Tunisia,209.29999999999998
293,2020Q2,Africa,Uganda,45.5
294,2020Q2,Africa,Zambia,182.0
295,2020Q2,Africa,Zimbabwe,154.7
296,2020Q2,Asia,Afghanistan,45.5
297,2020Q2,Asia,Armenia,382.2
298,2020Q2,Asia,Azerbaijan,427.7
299,2020Q2,Asia,Bahrain,182.0
300,2020Q2,Asia,Bangladesh,72.8
301,2020Q2,Asia,Bhutan,154.7
302,2020Q2,Asia,Brunei,245.70000000000002
303,2020Q2,Asia,Cambodia,72.8
304,2020Q2,Asia,China,394.94
305,2020Q2,Asia,Georgia,236.6
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,48.230000000000004
308,2020Q2,Asia,Indonesia,94.64
309,2020Q2,Asia,Iran,136.5
310,2020Q2,Asia,Iraq,127.39999999999999
311,2020Q2,Asia,Israel,272.09000000000003
312,2020Q2,Asia,Japan,1187.55
313,2020Q2,Asia,Jordan,127.39999999999999
314,2020Q2,Asia,Kazakhstan,609.7
315,2020Q2,Asia,Kuwait,182.0
316,2020Q2,Asia,Kyrgyzstan,409.5
317,2020Q2,Asia,Laos,136.5
318,2020Q2,Asia,Lebanon,263.9
319,2020Q2,Asia,Malaysia,172.9
320,2020Q2,Asia,Maldives,0.0
321,2020Q2,Asia,Mongolia,637.0
322,2020Q2,Asia,Myanmar,81.9
323,2020Q2,Asia,Nepal,27.3
324,2020Q2,Asia,North Korea,1201.2
325,2020Q2,Asia,Oman,145.6
326,2020Q2,Asia,Pakistan,54.6
327,2020Q2,Asia,Palestine,0.0
328,2020Q2,Asia,Philippines,91.0
329,2020Q2,Asia,Qatar,109.2
330,2020Q2,Asia,Saudi Arabia,245.70000000000002
331,2020Q2,Asia,Singapore,218.4
332,2020Q2,Asia,South Korea,1116.57
333,2020Q2,Asia,Sri Lanka,327.6
334,2020Q2,Asia,Syria,136.5
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,436.8
337,2020Q2,Asia,Thailand,191.1
338,2020Q2,Asia,Timor,536.9
339,2020Q2,Asia,Turkey,255.71
340,2020Q2,Asia,Turkmenistan,673.4
341,2020Q2,Asia,United Arab Emirates,109.2
342,2020Q2,Asia,Uzbekistan,364.0
343,2020Q2,Asia,Vietnam,236.6
344,2020Q2,Asia,Yemen,63.699999999999996
345,2020Q2,Europe,Albania,262.99
346,2020Q2,Europe,Andorra,0.0
347,2020Q2,Europe,Austria,670.67
348,2020Q2,Europe,Belarus,1001.0
349,2020Q2,Europe,Belgium,513.24
350,2020Q2,Europe,Bosnia and Herzegovina,318.5
351,2020Q2,Europe,Bulgaria,678.314
352,2020Q2,Europe,Croatia,504.14
353,2020Q2,Europe,Cyprus,309.4
354,2020Q2,Europe,Czechia,603.33
355,2020Q2,Europe,Denmark,227.5
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,426.79
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,298.47999999999996
360,2020Q2,Europe,France,544.1800000000001
361,2020Q2,Europe,Germany,728.0
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,383.11
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,638.8199999999999
366,2020Q2,Europe,Iceland,264.81
367,2020Q2,Europe,Ireland,269.36
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,289.38
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,506.87
373,2020Q2,Europe,Liechtenstein,218.12699999999998
374,2020Q2,Europe,Lithuania,596.9599999999999
375,2020Q2,Europe,Luxembourg,410.40999999999997
376,2020Q2,Europe,Malta,408.13500000000005
377,2020Q2,Europe,Moldova,527.8
378,2020Q2,Europe,Monaco,1255.8
379,2020Q2,Europe,Montenegro,351.351
380,2020Q2,Europe,Netherlands,302.12
381,2020Q2,Europe,North Macedonia,389.48
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,327.6
384,2020Q2,Europe,Poland,602.42
385,2020Q2,Europe,Portugal,308.49
386,2020Q2,Europe,Romania,627.172
387,2020Q2,Europe,Russia,732.5500000000001
388,2020Q2,Europe,San Marino,345.8
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,510.419
391,2020Q2,Europe,Slovakia,529.62
392,2020Q2,Europe,Slovenia,409.5
393,2020Q2,Europe,Spain,270.27000000000004
394,2020Q2,Europe,Sweden,202.02
395,2020Q2,Europe,Switzerland,412.23
396,2020Q2,Europe,Ukraine,800.8000000000001
397,2020Q2,Europe,United Kingdom,231.14000000000001
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,345.8
402,2020Q2,North America,Aruba,0.0
403,2020Q2,North America,Bahamas,263.9
404,2020Q2,North America,Barbados,527.8
405,2020Q2,North America,Belize,118.3
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,227.5
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,102.82999999999998
412,2020Q2,North America,Cuba,473.2
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,345.8
415,2020Q2,North America,Dominican Republic,145.6
416,2020Q2,North America,El Salvador,118.3
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,336.7
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,54.6
421,2020Q2,North America,Haiti,63.699999999999996
422,2020Q2,North America,Honduras,63.699999999999996
423,2020Q2,North America,Jamaica,154.7
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,125.57999999999998
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,81.9
428,2020Q2,North America,Panama,209.29999999999998
429,2020Q2,North America,Puerto Rico,0.0
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,209.29999999999998
432,2020Q2,North America,Saint Lucia,118.3
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,236.6
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,273.0
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,252.07
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,349.44
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,209.29999999999998
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,172.9
448,2020Q2,Oceania,Marshall Islands,245.70000000000002
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,455.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,237.51
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,436.8
456,2020Q2,Oceania,Papua New Guinea,0.0
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,0.0
459,2020Q2,Oceania,Solomon Islands,127.39999999999999
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,236.6
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,0.0
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,455.0
466,2020Q2,South America,Bolivia,100.10000000000001
467,2020Q2,South America,Brazil,200.20000000000002
468,2020Q2,South America,Chile,192.01
469,2020Q2,South America,Colombia,155.60999999999999
470,2020Q2,South America,Ecuador,136.5
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,145.6
474,2020Q2,South America,Paraguay,118.3
475,2020Q2,South America,Peru,145.6
476,2020Q2,South America,Suriname,282.1
477,2020Q2,South America,Uruguay,254.79999999999998
478,2020Q2,South America,Venezuela,72.8
479,2020Q3,Africa,Algeria,174.79999999999998
480,2020Q3,Africa,Angola,0.0
481,2020Q3,Africa,Benin,46.0
482,2020Q3,Africa,Botswana,165.6
483,2020Q3,Africa,Burkina Faso,36.800000000000004
484,2020Q3,Africa,Burundi,73.60000000000001
485,2020Q3,Africa,Cameroon,119.60000000000001
486,2020Q3,Africa,Cape Verde,193.20000000000002
487,2020Q3,Africa,Central African Republic,92.0
488,2020Q3,Africa,Chad,0.0
489,2020Q3,Africa,Comoros,202.4
490,2020Q3,Africa,Congo,0.0
491,2020Q3,Africa,Cote d'Ivoire,0.0
492,2020Q3,Africa,Democratic Republic of Congo,0.0
493,2020Q3,Africa,Djibouti,128.79999999999998
494,2020Q3,Africa,Egypt,147.20000000000002
495,2020Q3,Africa,Equatorial Guinea,193.20000000000002
496,2020Q3,Africa,Eritrea,64.39999999999999
497,2020Q3,Africa,Eswatini,193.20000000000002
498,2020Q3,Africa,Ethiopia,27.599999999999998
499,2020Q3,Africa,Gabon,579.6
500,2020Q3,Africa,Gambia,101.2
501,2020Q3,Africa,Ghana,82.8
502,2020Q3,Africa,Guinea,27.599999999999998
503,2020Q3,Africa,Guinea-Bissau,0.0
504,2020Q3,Africa,Kenya,128.79999999999998
505,2020Q3,Africa,Lesotho,0.0
506,2020Q3,Africa,Liberia,73.60000000000001
507,2020Q3,Africa,Libya,340.40000000000003
508,2020Q3,Africa,Madagascar,18.400000000000002
509,2020Q3,Africa,Malawi,119.60000000000001
510,2020Q3,Africa,Mali,9.200000000000001
511,2020Q3,Africa,Mauritania,0.0
512,2020Q3,Africa,Mauritius,312.8
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,101.2
515,2020Q3,Africa,Mozambique,64.39999999999999
516,2020Q3,Africa,Namibia,0.0
517,2020Q3,Africa,Niger,27.599999999999998
518,2020Q3,Africa,Nigeria,0.0
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,0.0
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,266.8
523,2020Q3,Africa,Senegal,0.0
524,2020Q3,Africa,Seychelles,331.2
525,2020Q3,Africa,Sierra Leone,0.0
526,2020Q3,Africa,Somalia,82.8
527,2020Q3,Africa,South Africa,213.44
528,2020Q3,Africa,South Sudan,0.0
529,2020Q3,Africa,Sudan,73.60000000000001
530,2020Q3,Africa,Tanzania,64.39999999999999
531,2020Q3,Africa,Togo,64.39999999999999
532,2020Q3,Africa,Tunisia,211.6
533,2020Q3,Africa,Uganda,46.0
534,2020Q3,Africa,Zambia,184.0
535,2020Q3,Africa,Zimbabwe,156.4
536,2020Q3,Asia,Afghanistan,46.0
537,2020Q3,Asia,Armenia,386.40000000000003
538,2020Q3,Asia,Azerbaijan,432.40000000000003
539,2020Q3,Asia,Bahrain,184.0
540,2020Q3,Asia,Bangladesh,73.60000000000001
541,2020Q3,Asia,Bhutan,156.4
542,2020Q3,Asia,Brunei,248.4
543,2020Q3,Asia,Cambodia,73.60000000000001
544,2020Q3,Asia,China,399.28
545,2020Q3,Asia,Georgia,239.20000000000002
546,2020Q3,Asia,Hong Kong,0.0
547,2020Q3,Asia,India,48.760000000000005
548,2020Q3,Asia,Indonesia,95.68
549,2020Q3,Asia,Iran,138.0
550,2020Q3,Asia,Iraq,128.79999999999998
