,date,continent,location,human_development_index
140,2020Q1,Europe,Montenegro,73.78099999999999
141,2020Q1,Europe,Netherlands,84.01599999999999
142,2020Q1,Europe,North Macedonia,68.886
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,85.173
145,2020Q1,Europe,Poland,78.32000000000001
146,2020Q1,Europe,Portugal,76.896
147,2020Q1,Europe,Romania,73.692
148,2020Q1,Europe,Russia,73.336
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,71.73400000000001
152,2020Q1,Europe,Slovakia,76.53999999999999
153,2020Q1,Europe,Slovenia,81.613
154,2020Q1,Europe,Spain,80.456
155,2020Q1,Europe,Sweden,84.10499999999999
156,2020Q1,Europe,Switzerland,84.99499999999999
157,2020Q1,Europe,Ukraine,69.331
158,2020Q1,Europe,United Kingdom,82.94800000000001
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,69.242
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,72.446
164,2020Q1,North America,Barbados,72.446
165,2020Q1,North America,Belize,63.724
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,82.681
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,72.09
172,2020Q1,North America,Cuba,69.687
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,66.038
175,2020Q1,North America,Dominican Republic,67.284
176,2020Q1,North America,El Salvador,59.897000000000006
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,69.331
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,59.007000000000005
181,2020Q1,North America,Haiti,45.39
182,2020Q1,North America,Honduras,56.426
183,2020Q1,North America,Jamaica,65.326
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,70.889
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,58.74
188,2020Q1,North America,Panama,72.535
189,2020Q1,North America,Puerto Rico,0.0
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,69.331
192,2020Q1,North America,Saint Lucia,67.551
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,65.682
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,70.84400000000001
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,82.414
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,84.01599999999999
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,66.127
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,56.07
208,2020Q1,Oceania,Marshall Islands,62.656
209,2020Q1,Oceania,Micronesia (country),55.18
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,82.85900000000001
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,73.514
216,2020Q1,Oceania,Papua New Guinea,49.395
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,63.635
219,2020Q1,Oceania,Solomon Islands,50.462999999999994
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,64.52499999999999
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,54.201
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,76.895
226,2020Q1,South America,Bolivia,63.902
227,2020Q1,South America,Brazil,68.08500000000001
228,2020Q1,South America,Chile,75.739
229,2020Q1,South America,Colombia,68.263
230,2020Q1,South America,Ecuador,67.551
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,60.69800000000001
234,2020Q1,South America,Paraguay,64.792
235,2020Q1,South America,Peru,69.153
236,2020Q1,South America,Suriname,65.682
237,2020Q1,South America,Uruguay,72.713
238,2020Q1,South America,Venezuela,63.278999999999996
239,2020Q2,Africa,Algeria,68.068
240,2020Q2,Africa,Angola,52.870999999999995
241,2020Q2,Africa,Benin,49.595000000000006
242,2020Q2,Africa,Botswana,66.885
243,2020Q2,Africa,Burkina Faso,41.132
244,2020Q2,Africa,Burundi,39.403
245,2020Q2,Africa,Cameroon,51.233
246,2020Q2,Africa,Cape Verde,60.515
247,2020Q2,Africa,Central African Republic,36.127
248,2020Q2,Africa,Chad,36.218
249,2020Q2,Africa,Comoros,50.414
250,2020Q2,Africa,Congo,52.233999999999995
251,2020Q2,Africa,Cote d'Ivoire,48.958000000000006
252,2020Q2,Africa,Democratic Republic of Congo,43.68
253,2020Q2,Africa,Djibouti,47.684000000000005
254,2020Q2,Africa,Egypt,64.337
255,2020Q2,Africa,Equatorial Guinea,53.872
256,2020Q2,Africa,Eritrea,41.769
257,2020Q2,Africa,Eswatini,55.601
258,2020Q2,Africa,Ethiopia,44.135
259,2020Q2,Africa,Gabon,63.973
260,2020Q2,Africa,Gambia,45.136
261,2020Q2,Africa,Ghana,55.601
262,2020Q2,Africa,Guinea,43.407
263,2020Q2,Africa,Guinea-Bissau,43.68
264,2020Q2,Africa,Kenya,54.690999999999995
265,2020Q2,Africa,Lesotho,47.957
266,2020Q2,Africa,Liberia,43.68
267,2020Q2,Africa,Libya,65.884
268,2020Q2,Africa,Madagascar,48.048
269,2020Q2,Africa,Malawi,43.952999999999996
270,2020Q2,Africa,Mali,39.494
271,2020Q2,Africa,Mauritania,49.68600000000001
272,2020Q2,Africa,Mauritius,73.164
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,62.426
275,2020Q2,Africa,Mozambique,41.496
276,2020Q2,Africa,Namibia,58.786
277,2020Q2,Africa,Niger,35.854
278,2020Q2,Africa,Nigeria,49.04900000000001
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,49.413000000000004
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,56.875
283,2020Q2,Africa,Senegal,46.592
284,2020Q2,Africa,Seychelles,72.436
285,2020Q2,Africa,Sierra Leone,41.132
286,2020Q2,Africa,Somalia,0.0
287,2020Q2,Africa,South Africa,64.51899999999999
288,2020Q2,Africa,South Sudan,39.403
289,2020Q2,Africa,Sudan,46.410000000000004
290,2020Q2,Africa,Tanzania,48.139
291,2020Q2,Africa,Togo,46.865
292,2020Q2,Africa,Tunisia,67.34
293,2020Q2,Africa,Uganda,49.504000000000005
294,2020Q2,Africa,Zambia,53.144
295,2020Q2,Africa,Zimbabwe,51.961
296,2020Q2,Asia,Afghanistan,46.501
297,2020Q2,Asia,Armenia,70.616
298,2020Q2,Asia,Azerbaijan,68.796
299,2020Q2,Asia,Bahrain,77.532
300,2020Q2,Asia,Bangladesh,57.512
301,2020Q2,Asia,Bhutan,59.514
302,2020Q2,Asia,Brunei,76.258
303,2020Q2,Asia,Cambodia,54.053999999999995
304,2020Q2,Asia,China,69.251
305,2020Q2,Asia,Georgia,73.89200000000001
306,2020Q2,Asia,Hong Kong,86.359
307,2020Q2,Asia,India,58.695
308,2020Q2,Asia,Indonesia,65.338
309,2020Q2,Asia,Iran,71.253
310,2020Q2,Asia,Iraq,61.334
311,2020Q2,Asia,Israel,83.629
