,date,continent,location,median_age
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,3809.2
121,2020Q1,Europe,France,3738.0
122,2020Q1,Europe,Germany,4147.400000000001
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,4031.7
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,3862.6
127,2020Q1,Europe,Iceland,3319.7
128,2020Q1,Europe,Ireland,3444.3
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,4263.099999999999
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,3907.1
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,3871.5
136,2020Q1,Europe,Luxembourg,3533.3
137,2020Q1,Europe,Malta,3773.6
138,2020Q1,Europe,Moldova,3346.4
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,3479.9
141,2020Q1,Europe,Netherlands,3844.8
142,2020Q1,Europe,North Macedonia,3479.9
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,3533.3
145,2020Q1,Europe,Poland,3720.2
146,2020Q1,Europe,Portugal,4111.8
147,2020Q1,Europe,Romania,3827.0
148,2020Q1,Europe,Russia,3524.4
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,3666.8
152,2020Q1,Europe,Slovakia,3666.8
153,2020Q1,Europe,Slovenia,3960.5
154,2020Q1,Europe,Spain,4049.5
155,2020Q1,Europe,Sweden,3649.0
156,2020Q1,Europe,Switzerland,3835.9
157,2020Q1,Europe,Ukraine,3684.6
158,2020Q1,Europe,United Kingdom,3631.2
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,2856.9
162,2020Q1,North America,Aruba,3666.8
163,2020Q1,North America,Bahamas,3052.7
164,2020Q1,North America,Barbados,3542.2
165,2020Q1,North America,Belize,2225.0
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,3684.6
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,2990.4
172,2020Q1,North America,Cuba,3835.9
173,2020Q1,North America,Curacao,3711.3
174,2020Q1,North America,Dominica,0.0
175,2020Q1,North America,Dominican Republic,2456.4
176,2020Q1,North America,El Salvador,2456.4
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,2616.6
179,2020Q1,North America,Guadeloupe,3862.6
180,2020Q1,North America,Guatemala,2038.1
181,2020Q1,North America,Haiti,2162.7000000000003
182,2020Q1,North America,Honduras,2216.1
183,2020Q1,North America,Jamaica,2794.6
