,date,continent,location,population_density
119,2020Q1,Europe,Faeroe Islands,3142.412
120,2020Q1,Europe,Finland,1614.104
121,2020Q1,Europe,France,10909.442000000001
122,2020Q1,Europe,Germany,21094.424
123,2020Q1,Europe,Gibraltar,307681.89999999997
124,2020Q1,Europe,Greece,7429.631
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,9615.827000000001
127,2020Q1,Europe,Iceland,302.956
128,2020Q1,Europe,Ireland,6218.785999999999
129,2020Q1,Europe,Isle of Man,13160.608000000002
130,2020Q1,Europe,Italy,18321.451
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,14965.795
133,2020Q1,Europe,Latvia,2777.868
134,2020Q1,Europe,Liechtenstein,21094.068
135,2020Q1,Europe,Lithuania,4017.015
136,2020Q1,Europe,Luxembourg,20598.783
137,2020Q1,Europe,Malta,129409.293
138,2020Q1,Europe,Moldova,11005.295
139,2020Q1,Europe,Monaco,1721927.5
140,2020Q1,Europe,Montenegro,4118.92
141,2020Q1,Europe,Netherlands,45260.416
142,2020Q1,Europe,North Macedonia,7351.4
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,1287.118
145,2020Q1,Europe,Poland,11038.403
146,2020Q1,Europe,Portugal,10001.019
147,2020Q1,Europe,Romania,7576.481000000001
148,2020Q1,Europe,Russia,785.2470000000001
149,2020Q1,Europe,San Marino,49543.363000000005
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,7145.898999999999
152,2020Q1,Europe,Slovakia,10068.392
153,2020Q1,Europe,Slovenia,9133.091
154,2020Q1,Europe,Spain,8286.345000000001
155,2020Q1,Europe,Sweden,2199.902
156,2020Q1,Europe,Switzerland,19067.627
157,2020Q1,Europe,Ukraine,6887.71
158,2020Q1,Europe,United Kingdom,24287.922000000002
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,20634.204999999998
162,2020Q1,North America,Aruba,52047.2
163,2020Q1,North America,Bahamas,3515.233
164,2020Q1,North America,Barbados,59137.206999999995
165,2020Q1,North America,Belize,1461.9139999999998
166,2020Q1,North America,Bermuda,116484.98
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,18509.597
169,2020Q1,North America,Canada,359.293
170,2020Q1,North America,Cayman Islands,22828.143999999997
171,2020Q1,North America,Costa Rica,8551.030999999999
172,2020Q1,North America,Cuba,9826.312
173,2020Q1,North America,Curacao,32275.316
174,2020Q1,North America,Dominica,8772.463
175,2020Q1,North America,Dominican Republic,19835.697
176,2020Q1,North America,El Salvador,27395.178999999996
177,2020Q1,North America,Greenland,12.193000000000001
178,2020Q1,North America,Grenada,28224.748
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,14047.226
181,2020Q1,North America,Haiti,35461.871999999996
182,2020Q1,North America,Honduras,7369.645
183,2020Q1,North America,Jamaica,23752.231000000003
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,6046.404
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,4598.363
188,2020Q1,North America,Panama,4906.837
189,2020Q1,North America,Puerto Rico,33484.648
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,18944.985
192,2020Q1,North America,Saint Lucia,26093.643
193,2020Q1,North America,Saint Martin (French part),52557.437
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,25079.042999999998
196,2020Q1,North America,Sint Maarten (Dutch part),107608.832
197,2020Q1,North America,Trinidad and Tobago,23752.854000000003
198,2020Q1,North America,Turks and Caicos Islands,3320.7679999999996
199,2020Q1,North America,United States,3169.1119999999996
200,2020Q1,North America,United States Virgin Islands,27276.72
201,2020Q1,Oceania,American Samoa,24760.245
202,2020Q1,Oceania,Australia,284.978
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,4411.018
