,date,continent,location,handwashing_facilities
247,2020Q2,Africa,Central African Republic,1510.873
248,2020Q2,Africa,Chad,529.438
249,2020Q2,Africa,Comoros,1417.234
250,2020Q2,Africa,Congo,4364.724
251,2020Q2,Africa,Cote d'Ivoire,1760.9409999999998
252,2020Q2,Africa,Democratic Republic of Congo,406.95200000000006
253,2020Q2,Africa,Djibouti,0.0
254,2020Q2,Africa,Egypt,8174.257
255,2020Q2,Africa,Equatorial Guinea,2242.2400000000002
256,2020Q2,Africa,Eritrea,0.0
257,2020Q2,Africa,Eswatini,2192.827
258,2020Q2,Africa,Ethiopia,724.36
259,2020Q2,Africa,Gabon,0.0
260,2020Q2,Africa,Gambia,716.716
261,2020Q2,Africa,Ghana,3735.2769999999996
262,2020Q2,Africa,Guinea,1587.95
263,2020Q2,Africa,Guinea-Bissau,582.673
264,2020Q2,Africa,Kenya,2243.241
265,2020Q2,Africa,Lesotho,192.647
266,2020Q2,Africa,Liberia,108.10799999999999
267,2020Q2,Africa,Libya,0.0
268,2020Q2,Africa,Madagascar,4599.14
269,2020Q2,Africa,Malawi,792.0640000000001
270,2020Q2,Africa,Mali,4753.112
271,2020Q2,Africa,Mauritania,1451.45
272,2020Q2,Africa,Mauritius,0.0
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,0.0
275,2020Q2,Africa,Mozambique,1112.657
276,2020Q2,Africa,Namibia,4058.6
277,2020Q2,Africa,Niger,816.9979999999999
278,2020Q2,Africa,Nigeria,3817.359
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,420.147
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,3761.9400000000005
283,2020Q2,Africa,Senegal,1898.169
284,2020Q2,Africa,Seychelles,0.0
285,2020Q2,Africa,Sierra Leone,1754.0249999999999
286,2020Q2,Africa,Somalia,894.621
287,2020Q2,Africa,South Africa,4003.3630000000003
288,2020Q2,Africa,South Sudan,0.0
289,2020Q2,Africa,Sudan,2132.7670000000003
290,2020Q2,Africa,Tanzania,4363.723
291,2020Q2,Africa,Togo,953.225
292,2020Q2,Africa,Tunisia,7160.517
293,2020Q2,Africa,Uganda,1931.2020000000002
294,2020Q2,Africa,Zambia,1268.358
295,2020Q2,Africa,Zimbabwe,3347.9809999999998
296,2020Q2,Asia,Afghanistan,3434.8860000000004
297,2020Q2,Asia,Armenia,8557.913
298,2020Q2,Asia,Azerbaijan,7574.931
299,2020Q2,Asia,Bahrain,0.0
300,2020Q2,Asia,Bangladesh,3167.528
301,2020Q2,Asia,Bhutan,7262.437
302,2020Q2,Asia,Brunei,0.0
303,2020Q2,Asia,Cambodia,6026.839
304,2020Q2,Asia,China,0.0
305,2020Q2,Asia,Georgia,0.0
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,5419.05
308,2020Q2,Asia,Indonesia,5842.563999999999
309,2020Q2,Asia,Iran,0.0
310,2020Q2,Asia,Iraq,8606.416
311,2020Q2,Asia,Israel,0.0
312,2020Q2,Asia,Japan,0.0
313,2020Q2,Asia,Jordan,0.0
314,2020Q2,Asia,Kazakhstan,9008.909
315,2020Q2,Asia,Kuwait,0.0
316,2020Q2,Asia,Kyrgyzstan,8119.0199999999995
317,2020Q2,Asia,Laos,4535.349
318,2020Q2,Asia,Lebanon,0.0
319,2020Q2,Asia,Malaysia,0.0
320,2020Q2,Asia,Maldives,8718.073
321,2020Q2,Asia,Mongolia,6477.380000000001
322,2020Q2,Asia,Myanmar,7215.117
323,2020Q2,Asia,Nepal,4348.161999999999
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,8863.4
326,2020Q2,Asia,Pakistan,5424.237
327,2020Q2,Asia,Palestine,0.0
328,2020Q2,Asia,Philippines,7140.133
329,2020Q2,Asia,Qatar,0.0
330,2020Q2,Asia,Saudi Arabia,0.0
331,2020Q2,Asia,Singapore,0.0
332,2020Q2,Asia,South Korea,0.0
333,2020Q2,Asia,Sri Lanka,0.0
334,2020Q2,Asia,Syria,6424.418
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,6616.063999999999
337,2020Q2,Asia,Thailand,8250.97
338,2020Q2,Asia,Timor,2564.198
339,2020Q2,Asia,Turkey,0.0
340,2020Q2,Asia,Turkmenistan,9100.0
341,2020Q2,Asia,United Arab Emirates,0.0
342,2020Q2,Asia,Uzbekistan,0.0
343,2020Q2,Asia,Vietnam,7812.076999999999
344,2020Q2,Asia,Yemen,4508.322
345,2020Q2,Europe,Albania,0.0
346,2020Q2,Europe,Andorra,0.0
347,2020Q2,Europe,Austria,0.0
348,2020Q2,Europe,Belarus,0.0
349,2020Q2,Europe,Belgium,0.0
350,2020Q2,Europe,Bosnia and Herzegovina,8841.924
351,2020Q2,Europe,Bulgaria,0.0
352,2020Q2,Europe,Croatia,0.0
353,2020Q2,Europe,Cyprus,0.0
354,2020Q2,Europe,Czechia,0.0
355,2020Q2,Europe,Denmark,0.0
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,0.0
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,0.0
360,2020Q2,Europe,France,0.0
361,2020Q2,Europe,Germany,0.0
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,0.0
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,0.0
366,2020Q2,Europe,Iceland,0.0
367,2020Q2,Europe,Ireland,0.0
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,0.0
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,0.0
373,2020Q2,Europe,Liechtenstein,0.0
374,2020Q2,Europe,Lithuania,0.0
375,2020Q2,Europe,Luxembourg,0.0
376,2020Q2,Europe,Malta,0.0
377,2020Q2,Europe,Moldova,7915.089
378,2020Q2,Europe,Monaco,0.0
379,2020Q2,Europe,Montenegro,0.0
380,2020Q2,Europe,Netherlands,0.0
381,2020Q2,Europe,North Macedonia,0.0
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,0.0
384,2020Q2,Europe,Poland,0.0
385,2020Q2,Europe,Portugal,0.0
386,2020Q2,Europe,Romania,0.0
387,2020Q2,Europe,Russia,0.0
388,2020Q2,Europe,San Marino,0.0
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,8892.429
391,2020Q2,Europe,Slovakia,0.0
392,2020Q2,Europe,Slovenia,0.0
393,2020Q2,Europe,Spain,0.0
394,2020Q2,Europe,Sweden,0.0
395,2020Q2,Europe,Switzerland,0.0
396,2020Q2,Europe,Ukraine,0.0
397,2020Q2,Europe,United Kingdom,0.0
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,0.0
402,2020Q2,North America,Aruba,0.0
403,2020Q2,North America,Bahamas,0.0
404,2020Q2,North America,Barbados,8050.678999999999
405,2020Q2,North America,Belize,8197.553
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,0.0
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,7629.530999999999
412,2020Q2,North America,Cuba,7753.017999999999
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,0.0
415,2020Q2,North America,Dominican Republic,5021.562
416,2020Q2,North America,El Salvador,8249.15
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,0.0
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,6976.515
421,2020Q2,North America,Haiti,2080.533
422,2020Q2,North America,Honduras,7659.379
423,2020Q2,North America,Jamaica,6044.675
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,7994.076999999999
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,0.0
428,2020Q2,North America,Panama,0.0
429,2020Q2,North America,Puerto Rico,0.0
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,7935.382
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,0.0
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,8139.313
