,date,continent,location,gdp_per_capita
118,2020Q1,Europe,Estonia,2623831.428
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,3612129.1689999998
121,2020Q1,Europe,France,3435904.719
122,2020Q1,Europe,Germany,4025402.805
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,2187119.998
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,2383202.929
127,2020Q1,Europe,Iceland,4136983.262
128,2020Q1,Europe,Ireland,5992841.0770000005
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,3134587.4760000003
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,871829.226
133,2020Q1,Europe,Latvia,2230682.294
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,2627659.585
136,2020Q1,Europe,Luxembourg,8390738.885
137,2020Q1,Europe,Malta,3249685.7469999995
138,2020Q1,Europe,Moldova,461907.508
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,1460426.632
141,2020Q1,Europe,Netherlands,4314056.505
142,2020Q1,Europe,North Macedonia,1166898.046
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,5767205.073
145,2020Q1,Europe,Poland,2422263.605
146,2020Q1,Europe,Portugal,2486383.744
147,2020Q1,Europe,Romania,2074874.7110000001
148,2020Q1,Europe,Russia,2204169.906
149,2020Q1,Europe,San Marino,5060670.83
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,1250350.409
152,2020Q1,Europe,Slovakia,2683808.528
153,2020Q1,Europe,Slovenia,2794674.7600000002
154,2020Q1,Europe,Spain,3050240.04
155,2020Q1,Europe,Sweden,4178486.1870000004
156,2020Q1,Europe,Switzerland,5109504.774
157,2020Q1,Europe,Ukraine,702600.977
158,2020Q1,Europe,United Kingdom,3538038.716
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,1912693.927
162,2020Q1,North America,Aruba,3201666.509
163,2020Q1,North America,Bahamas,2466888.383
164,2020Q1,North America,Barbados,1511048.052
165,2020Q1,North America,Belize,696368.218
166,2020Q1,North America,Bermuda,4509569.035
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,3917565.599
170,2020Q1,North America,Cayman Islands,4441369.581
171,2020Q1,North America,Costa Rica,1381724.5550000002
172,2020Q1,North America,Cuba,0.0
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,860929.6630000001
175,2020Q1,North America,Dominican Republic,1299476.629
176,2020Q1,North America,El Salvador,649028.762
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,1209855.053
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,660718.912
181,2020Q1,North America,Haiti,147132.397
182,2020Q1,North America,Honduras,404219.755
183,2020Q1,North America,Jamaica,729227.819
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,1577618.679
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,473608.51600000006
188,2020Q1,North America,Panama,1981766.293
189,2020Q1,North America,Puerto Rico,3118975.63
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,2194240.2649999997
192,2020Q1,North America,Saint Lucia,1152713.671
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,954715.9940000001
196,2020Q1,North America,Sint Maarten (Dutch part),3233123.6480000005
197,2020Q1,North America,Trinidad and Tobago,2559913.319
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,4826064.694
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,3973735.19
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,774564.775
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,176320.748
208,2020Q1,Oceania,Marshall Islands,339908.978
209,2020Q1,Oceania,Micronesia (country),293652.296
210,2020Q1,Oceania,Nauru,1147711.5150000001
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,3211640.0270000002
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,1178396.0450000002
216,2020Q1,Oceania,Papua New Guinea,340264.266
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,535918.573
219,2020Q1,Oceania,Solomon Islands,196327.14699999997
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,482880.26900000003
