,date,continent,location,stringency_index
138,2020Q1,Europe,Moldova,1737.16
139,2020Q1,Europe,Monaco,2058.31
140,2020Q1,Europe,Montenegro,0.0
141,2020Q1,Europe,Netherlands,1473.1200000000001
142,2020Q1,Europe,North Macedonia,0.0
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,1791.6299999999999
145,2020Q1,Europe,Poland,1513.1499999999999
146,2020Q1,Europe,Portugal,1764.1299999999999
147,2020Q1,Europe,Romania,1876.03
148,2020Q1,Europe,Russia,1557.31
149,2020Q1,Europe,San Marino,2216.64
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,1929.72
152,2020Q1,Europe,Slovakia,1695.45
153,2020Q1,Europe,Slovenia,1427.74
154,2020Q1,Europe,Spain,1937.0
155,2020Q1,Europe,Sweden,1254.76
156,2020Q1,Europe,Switzerland,1599.99
157,2020Q1,Europe,Ukraine,1687.04
158,2020Q1,Europe,United Kingdom,1524.53
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,0.0
162,2020Q1,North America,Aruba,744.41
163,2020Q1,North America,Bahamas,2005.6
164,2020Q1,North America,Barbados,1639.97
165,2020Q1,North America,Belize,1186.14
166,2020Q1,North America,Bermuda,1572.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,1345.96
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,1680.56
172,2020Q1,North America,Cuba,1322.27
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,261.13
175,2020Q1,North America,Dominican Republic,1436.06
176,2020Q1,North America,El Salvador,2364.62
177,2020Q1,North America,Greenland,1261.1399999999999
178,2020Q1,North America,Grenada,0.0
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,2146.27
181,2020Q1,North America,Haiti,1382.49
182,2020Q1,North America,Honduras,1793.5
183,2020Q1,North America,Jamaica,2120.21
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,623.2
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,407.33
188,2020Q1,North America,Panama,1660.01
189,2020Q1,North America,Puerto Rico,0.0
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,0.0
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,0.0
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,1738.88
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,1630.1
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,1789.69
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,2105.36
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,641.48
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,2093.33
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,1412.04
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,0.0
219,2020Q1,Oceania,Solomon Islands,860.01
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,963.16
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,777.73
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,2024.96
226,2020Q1,South America,Bolivia,1545.3899999999999
227,2020Q1,South America,Brazil,1541.81
228,2020Q1,South America,Chile,1052.79
229,2020Q1,South America,Colombia,1707.32
230,2020Q1,South America,Ecuador,1877.9299999999998
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,1386.21
234,2020Q1,South America,Paraguay,1710.4099999999999
235,2020Q1,South America,Peru,1813.82
236,2020Q1,South America,Suriname,996.33
237,2020Q1,South America,Uruguay,1050.0
238,2020Q1,South America,Venezuela,1638.8999999999999
239,2020Q2,Africa,Algeria,7105.86
240,2020Q2,Africa,Angola,7351.0
241,2020Q2,Africa,Benin,5310.2
242,2020Q2,Africa,Botswana,6642.6
243,2020Q2,Africa,Burkina Faso,5873.13
244,2020Q2,Africa,Burundi,1263.99
245,2020Q2,Africa,Cameroon,5844.7
246,2020Q2,Africa,Cape Verde,7251.08
247,2020Q2,Africa,Central African Republic,6413.06
248,2020Q2,Africa,Chad,6714.66
249,2020Q2,Africa,Comoros,0.0
250,2020Q2,Africa,Congo,7926.84
251,2020Q2,Africa,Cote d'Ivoire,6504.16
252,2020Q2,Africa,Democratic Republic of Congo,7317.06
253,2020Q2,Africa,Djibouti,7010.94
254,2020Q2,Africa,Egypt,7567.72
255,2020Q2,Africa,Equatorial Guinea,0.0
256,2020Q2,Africa,Eritrea,0.0
257,2020Q2,Africa,Eswatini,7743.51
258,2020Q2,Africa,Ethiopia,7233.7300000000005
259,2020Q2,Africa,Gabon,7399.070000000001
260,2020Q2,Africa,Gambia,6996.07
261,2020Q2,Africa,Ghana,6020.54
262,2020Q2,Africa,Guinea,7089.55
