,date,continent,location,total_cases_per_million
125,2020Q1,Europe,Guernsey,6853.103
126,2020Q1,Europe,Hungary,350.245
127,2020Q1,Europe,Iceland,27875.89
128,2020Q1,Europe,Ireland,3474.1440000000002
129,2020Q1,Europe,Isle of Man,2661.651
130,2020Q1,Europe,Italy,18765.051
131,2020Q1,Europe,Jersey,3258.241
132,2020Q1,Europe,Kosovo,469.668
133,2020Q1,Europe,Latvia,1201.736
134,2020Q1,Europe,Liechtenstein,20048.28
135,2020Q1,Europe,Lithuania,639.258
136,2020Q1,Europe,Luxembourg,17811.898
137,2020Q1,Europe,Malta,2771.452
138,2020Q1,Europe,Moldova,640.394
139,2020Q1,Europe,Monaco,9892.845
140,2020Q1,Europe,Montenegro,0.0
141,2020Q1,Europe,Netherlands,4995.213
142,2020Q1,Europe,North Macedonia,943.3549999999999
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,10568.381
145,2020Q1,Europe,Poland,349.876
146,2020Q1,Europe,Portugal,3008.217
147,2020Q1,Europe,Romania,636.134
148,2020Q1,Europe,Russia,81.5
149,2020Q1,Europe,San Marino,99525.08
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,747.4300000000001
152,2020Q1,Europe,Slovakia,585.809
153,2020Q1,Europe,Slovenia,3422.424
154,2020Q1,Europe,Spain,16354.796999999999
155,2020Q1,Europe,Sweden,4029.827
156,2020Q1,Europe,Switzerland,20204.173000000003
157,2020Q1,Europe,Ukraine,64.123
158,2020Q1,Europe,United Kingdom,3085.59
159,2020Q1,Europe,Vatican,58168.322
160,2020Q1,North America,Anguilla,629.84
161,2020Q1,North America,Antigua and Barbuda,479.884
162,2020Q1,North America,Aruba,2385.892
163,2020Q1,North America,Bahamas,192.685
164,2020Q1,North America,Barbados,703.008
165,2020Q1,North America,Belize,32.076
166,2020Q1,North America,Bermuda,1697.634
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,319.16499999999996
169,2020Q1,North America,Canada,906.269
170,2020Q1,North America,Cayman Islands,1076.799
171,2020Q1,North America,Costa Rica,468.456
