,date,continent,location,total_deaths_per_million
125,2020Q1,Europe,Guernsey,31.582
126,2020Q1,Europe,Hungary,11.334
127,2020Q1,Europe,Iceland,34.863
128,2020Q1,Europe,Ireland,69.277
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,1765.643
131,2020Q1,Europe,Jersey,81.231
132,2020Q1,Europe,Kosovo,5.61
133,2020Q1,Europe,Latvia,0.0
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,9.457
136,2020Q1,Europe,Luxembourg,361.328
137,2020Q1,Europe,Malta,0.0
138,2020Q1,Europe,Moldova,5.197
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,0.0
141,2020Q1,Europe,Netherlands,344.396
142,2020Q1,Europe,North Macedonia,11.943999999999999
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,30.912
145,2020Q1,Europe,Poland,4.488
146,2020Q1,Europe,Portugal,61.528999999999996
147,2020Q1,Europe,Romania,11.445
148,2020Q1,Europe,Russia,0.29700000000000004
149,2020Q1,Europe,San Marino,9528.047
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,9.751
152,2020Q1,Europe,Slovakia,0.177
153,2020Q1,Europe,Slovenia,28.304
154,2020Q1,Europe,Spain,1045.01
155,2020Q1,Europe,Sweden,137.166
156,2020Q1,Europe,Switzerland,324.466
157,2020Q1,Europe,Ukraine,2.213
158,2020Q1,Europe,United Kingdom,272.872
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,0.0
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,0.0
164,2020Q1,North America,Barbados,0.0
165,2020Q1,North America,Belize,0.0
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,7.254
170,2020Q1,North America,Cayman Islands,247.367
171,2020Q1,North America,Costa Rica,4.053
172,2020Q1,North America,Cuba,1.8719999999999999
