location,date,stringency_index,adjusted_new_cases,adjusted_new_deaths,adjusted_new_cases_per_million,adjusted_new_deaths_per_million,adjusted_total_cases,adjusted_total_deaths
Africa,2020-02-29,,4.2802098420000005,0.0,0.003,0.0,4.2802098420000005,0.0
Africa,2020-03-31,,5658.437411124,325.29594799199987,3.966,0.2279999999999999,5662.717620966,325.29594799199987
Africa,2020-04-30,,31978.874466196005,1646.454052556,22.414,1.154,37641.592087162004,1971.750000548
Africa,2020-05-31,,106938.189429142,2442.573083168,74.953,1.712,144579.781516304,4414.323083716
Africa,2020-06-30,,256260.44345038198,8128.118489958,179.613,5.697,400840.224966686,12542.441573674001
Africa,2020-07-31,,516510.042473508,9560.562050413999,362.022,6.701,917350.267440194,22103.003624088
Africa,2020-08-31,,335551.330773432,10042.799025945998,235.188,7.039,1252901.598213626,32145.802650034
Africa,2020-09-30,,229878.656720908,6363.24529844,161.122,4.46,1482780.254934534,38509.047948474
Africa,2020-10-31,,302958.959563216,5803.964545752,212.344,4.068,1785739.21449775,44313.012494226
Africa,2020-11-30,,394174.511506078,7946.922939980001,276.277,5.57,2179913.726003828,52259.935434206
Africa,2020-12-31,,567933.91025191,12793.547217738002,398.065,8.967,2747847.636255738,65053.482651944
Africa,2021-01-31,,829868.48521617,25579.960752405997,581.655,17.929,3577716.121471908,90633.44340435
Africa,2021-02-28,,345902.304908002,13063.200437784,242.443,9.156,3923618.4263799097,103696.643842134
Africa,2021-03-31,,327340.461559862,9245.253258720002,229.433,6.48,4250958.887939772,112941.897100854
Africa,2021-04-30,,347580.147166066,8981.306985129999,243.619,6.295,4598539.0351058375,121923.20408598399
Africa,2021-05-31,,287495.988140684,8851.473953256,201.506,6.204,4886035.023246521,130774.67803924
Africa,2021-06-30,,643890.514108042,12083.032383966,451.303,8.469,5529925.537354563,142857.710423206
Africa,2021-07-31,,1220615.97537542,27361.954783292,855.53,19.178,6750541.512729984,170219.665206498
Africa,2021-08-31,,1122758.9644943879,26535.874283786,786.942,18.599,7873300.477224371,196755.539490284
Africa,2021-09-30,,524688.0967449561,14815.232999776,367.754,10.384,8397988.573969327,211570.77249006
Africa,2021-10-31,,204776.65273419197,7108.001810948,143.528,4.982,8602765.226703519,218678.77430100797
Africa,2021-11-30,,186799.771397792,4945.069104124001,130.928,3.466,8789564.99810131,223623.84340513198
Africa,2021-12-31,,1061678.943312434,5254.670949361999,744.131,3.683,9851243.941413745,228878.51435449396
Africa,2022-01-31,,1241824.41514253,10612.066934932,870.395,7.438,11093068.356556276,239490.58128942596
Africa,2022-02-28,,606567.084285802,9931.513570054001,425.143,6.961,11699635.440842077,249422.09485947996
Africa,2022-03-31,,233680.90979721802,3384.219248408,163.787,2.372,11933316.350639295,252806.31410788794
Africa,2022-04-30,,160183.999863622,1025.823625466,112.273,0.719,12093500.350502918,253832.13773335394
